Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 47.66      1.63     1.63   869998     0.00     0.00  try_swap
 13.74      2.10     0.47 25584958     0.00     0.00  comp_td_point_to_point_delay
 13.60      2.57     0.47 12629702     0.00     0.00  get_non_updateable_bb
  6.73      2.80     0.23 15637785     0.00     0.00  get_net_cost
  4.97      2.97     0.17    68548     0.00     0.00  label_wire_muxes
  2.92      3.07     0.10 18463104     0.00     0.00  get_seg_start
  2.34      3.15     0.08  3008047     0.00     0.00  update_bb
  2.19      3.22     0.08   315200     0.00     0.00  get_bb_from_scratch
  1.17      3.26     0.04        1     0.04     3.41  try_place
  0.88      3.29     0.03    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.58      3.31     0.02  3022684     0.00     0.00  my_irand
  0.58      3.33     0.02      124     0.00     0.00  load_net_slack
  0.58      3.35     0.02        2     0.01     0.01  comp_bb_cost
  0.29      3.36     0.01  1421350     0.00     0.00  get_rr_node_index
  0.29      3.37     0.01   222559     0.00     0.00  get_timing_driven_expected_cost
  0.29      3.38     0.01    22465     0.00     0.00  get_heap_head
  0.29      3.39     0.01      477     0.00     0.00  timing_driven_route_net
  0.29      3.40     0.01        1     0.01     0.01  add_rr_graph_C_from_switches
  0.29      3.41     0.01                             dump_seg_details
  0.15      3.42     0.01   383841     0.00     0.00  my_malloc
  0.15      3.42     0.01      171     0.00     0.00  my_calloc
  0.00      3.42     0.00   638248     0.00     0.00  my_frand
  0.00      3.42     0.00   222559     0.00     0.00  node_to_heap
  0.00      3.42     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      3.42     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      3.42     0.00   166056     0.00     0.00  is_sbox
  0.00      3.42     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      3.42     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      3.42     0.00    55176     0.00     0.00  get_track_to_tracks
  0.00      3.42     0.00    29040     0.00     0.00  get_seg_end
  0.00      3.42     0.00    29040     0.00     0.00  is_cbox
  0.00      3.42     0.00    22465     0.00     0.00  free_heap_data
  0.00      3.42     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      3.42     0.00    20292     0.00     0.00  check_node
  0.00      3.42     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      3.42     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      3.42     0.00    15972     0.00     0.00  get_track_to_ipins
  0.00      3.42     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      3.42     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      3.42     0.00     4966     0.00     0.00  is_opin
  0.00      3.42     0.00     4742     0.00     0.00  print_netlist
