Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 42.09      1.49     1.49   869998     0.00     0.00  try_swap
 15.40      2.04     0.55 25584958     0.00     0.00  comp_td_point_to_point_delay
 12.57      2.48     0.45 12629702     0.00     0.00  get_non_updateable_bb
  7.63      2.75     0.27 18463104     0.00     0.00  get_seg_start
  6.78      2.99     0.24 15637785     0.00     0.00  get_net_cost
  4.24      3.14     0.15  3008047     0.00     0.00  update_bb
  3.67      3.27     0.13    68548     0.00     0.00  label_wire_muxes
  1.69      3.33     0.06   315200     0.00     0.00  get_bb_from_scratch
  1.13      3.37     0.04  3022684     0.00     0.00  my_irand
  0.85      3.40     0.03      477     0.00     0.00  timing_driven_route_net
  0.85      3.43     0.03      124     0.00     0.00  load_net_slack
  0.56      3.45     0.02   222559     0.00     0.00  node_to_heap
  0.56      3.47     0.02                             dump_seg_details
  0.42      3.49     0.02        2     0.01     0.01  comp_bb_cost
  0.28      3.50     0.01    78880     0.00     0.00  seg_index_of_cblock
  0.28      3.51     0.01    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.28      3.52     0.01        1     0.01     0.01  check_rr_graph
  0.28      3.53     0.01        1     0.01     0.01  sync_nets_to_blocks
  0.28      3.54     0.01        1     0.01     3.51  try_place
  0.14      3.54     0.01                             nonlinear_cong_cost
  0.00      3.54     0.00  1421350     0.00     0.00  get_rr_node_index
  0.00      3.54     0.00   638248     0.00     0.00  my_frand
  0.00      3.54     0.00   383841     0.00     0.00  my_malloc
  0.00      3.54     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      3.54     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      3.54     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      3.54     0.00   166056     0.00     0.00  is_sbox
  0.00      3.54     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      3.54     0.00    55176     0.00     0.00  get_track_to_tracks
  0.00      3.54     0.00    29040     0.00     0.00  get_seg_end
  0.00      3.54     0.00    29040     0.00     0.00  is_cbox
  0.00      3.54     0.00    22465     0.00     0.00  free_heap_data
  0.00      3.54     0.00    22465     0.00     0.00  get_heap_head
  0.00      3.54     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      3.54     0.00    20292     0.00     0.00  check_node
  0.00      3.54     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      3.54     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      3.54     0.00    15972     0.00     0.00  get_track_to_ipins
  0.00      3.54     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      3.54     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      3.54     0.00     4966     0.00     0.00  is_opin
  0.00      3.54     0.00     4742     0.00     0.00  print_netlist
  0.00      3.54     0.00     4627     0.00     0.00  alloc_rt_node
  0.00      3.54     0.00     4627     0.00     0.00  alloc_trace_data
  0.00      3.54     0.00     3774     0.00     0.00  my_atoi
  0.00      3.54     0.00     3302     0.00     0.00  FreeTokens
  0.00      3.54     0.00     3287     0.00     0.00  CountTokens
  0.00      3.54     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      3.54     0.00     1359     0.00     0.00  my_strdup
