Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 66.94      1.66     1.66   869998     0.00     0.00  try_swap
 15.32      2.04     0.38 25584958     0.00     0.00  comp_td_point_to_point_delay
  6.45      2.20     0.16    68548     0.00     0.00  label_wire_muxes
  3.43      2.29     0.09  3022684     0.00     0.00  my_irand
  2.02      2.34     0.05  3008047     0.00     0.00  update_bb
  1.21      2.37     0.03        1     0.03     2.47  try_place
  0.81      2.39     0.02   315200     0.00     0.00  get_bb_from_scratch
  0.40      2.40     0.01   222559     0.00     0.00  node_to_heap
  0.40      2.41     0.01    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.40      2.42     0.01      511     0.00     0.00  get_mst_of_net
  0.40      2.43     0.01      477     0.00     0.00  timing_driven_route_net
  0.40      2.44     0.01      477     0.00     0.00  update_net_delays_from_route_tree
  0.40      2.45     0.01      124     0.00     0.00  load_net_slack
  0.40      2.46     0.01      121     0.00     0.00  load_sblock_pattern_lookup
  0.40      2.47     0.01        1     0.01     0.19  build_rr_graph
  0.40      2.48     0.01        1     0.01     0.01  sync_nets_to_blocks
  0.20      2.48     0.01   638248     0.00     0.00  my_frand
  0.00      2.48     0.00  1342470     0.00     0.00  get_rr_node_index
  0.00      2.48     0.00   377666     0.00     0.00  my_malloc
  0.00      2.48     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      2.48     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      2.48     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      2.48     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      2.48     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      2.48     0.00    55176     0.00     0.00  get_track_to_tracks
  0.00      2.48     0.00    29040     0.00     0.00  get_seg_end
  0.00      2.48     0.00    29040     0.00     0.00  get_seg_start
  0.00      2.48     0.00    22465     0.00     0.00  free_heap_data
  0.00      2.48     0.00    22465     0.00     0.00  get_heap_head
  0.00      2.48     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      2.48     0.00    20292     0.00     0.00  check_node
