Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 40.81      1.11     1.11   869998     0.00     0.00  try_swap
 20.22      1.66     0.55 25584958     0.00     0.00  comp_td_point_to_point_delay
 11.03      1.96     0.30 12629702     0.00     0.00  get_non_updateable_bb
  7.17      2.16     0.20 15637785     0.00     0.00  get_net_cost
  5.51      2.31     0.15 18463104     0.00     0.00  get_seg_start
  5.15      2.45     0.14    68548     0.00     0.00  label_wire_muxes
  1.84      2.50     0.05  3008047     0.00     0.00  update_bb
  1.65      2.54     0.05   315200     0.00     0.00  get_bb_from_scratch
  1.47      2.58     0.04                             dump_seg_details
  1.10      2.61     0.03   222559     0.00     0.00  get_timing_driven_expected_cost
  0.74      2.63     0.02  3022684     0.00     0.00  my_irand
  0.74      2.65     0.02    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.74      2.67     0.02        1     0.02     2.68  try_place
  0.37      2.68     0.01      477     0.00     0.00  timing_driven_route_net
  0.37      2.69     0.01      124     0.00     0.00  load_net_slack
  0.37      2.70     0.01        2     0.01     0.01  comp_bb_cost
  0.37      2.71     0.01        1     0.01     0.01  add_rr_graph_C_from_switches
  0.37      2.72     0.01        1     0.01     0.01  free_rr_node_indices
  0.00      2.72     0.00  1421350     0.00     0.00  get_rr_node_index
  0.00      2.72     0.00   638248     0.00     0.00  my_frand
  0.00      2.72     0.00   383841     0.00     0.00  my_malloc
  0.00      2.72     0.00   222559     0.00     0.00  node_to_heap
  0.00      2.72     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      2.72     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      2.72     0.00   166056     0.00     0.00  is_sbox
  0.00      2.72     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      2.72     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      2.72     0.00    55176     0.00     0.00  get_track_to_tracks
  0.00      2.72     0.00    29040     0.00     0.00  get_seg_end
  0.00      2.72     0.00    29040     0.00     0.00  is_cbox
  0.00      2.72     0.00    22465     0.00     0.00  free_heap_data
  0.00      2.72     0.00    22465     0.00     0.00  get_heap_head
  0.00      2.72     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      2.72     0.00    20292     0.00     0.00  check_node
  0.00      2.72     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      2.72     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      2.72     0.00    15972     0.00     0.00  get_track_to_ipins
  0.00      2.72     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      2.72     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      2.72     0.00     4966     0.00     0.00  is_opin
  0.00      2.72     0.00     4742     0.00     0.00  print_netlist
  0.00      2.72     0.00     4627     0.00     0.00  alloc_rt_node
  0.00      2.72     0.00     4627     0.00     0.00  alloc_trace_data
  0.00      2.72     0.00     3774     0.00     0.00  my_atoi
  0.00      2.72     0.00     3302     0.00     0.00  FreeTokens
  0.00      2.72     0.00     3287     0.00     0.00  CountTokens
  0.00      2.72     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      2.72     0.00     1359     0.00     0.00  my_strdup
  0.00      2.72     0.00     1120     0.00     0.00  get_unidir_opin_connections
  0.00      2.72     0.00      954     0.00     0.00  pathfinder_update_one_cost
  0.00      2.72     0.00      649     0.00     0.00  hash_value
  0.00      2.72     0.00      649     0.00     0.00  insert_in_hash_table
  0.00      2.72     0.00      551     0.00     0.00  ezxml_decode
  0.00      2.72     0.00      511     0.00     0.00  get_mst_of_net
  0.00      2.72     0.00      479     0.00     0.00  free_traceback
  0.00      2.72     0.00      478     0.00     0.00  load_net_rr_terminals
  0.00      2.72     0.00      477     0.00     0.00  add_route_tree_to_heap
  0.00      2.72     0.00      477     0.00     0.00  empty_heap
  0.00      2.72     0.00      477     0.00     0.00  free_route_tree
  0.00      2.72     0.00      477     0.00     0.00  heapsort
  0.00      2.72     0.00      477     0.00     0.00  init_route_tree_to_source
  0.00      2.72     0.00      477     0.00     0.00  load_rt_subtree_Tdel
  0.00      2.72     0.00      477     0.00     0.00  mark_ends
  0.00      2.72     0.00      477     0.00     0.00  reset_path_costs
  0.00      2.72     0.00      477     0.00     0.00  update_net_delays_from_route_tree
  0.00      2.72     0.00      477     0.00     0.00  update_route_tree
  0.00      2.72     0.00      477     0.00     0.00  update_traceback
  0.00      2.72     0.00      450     0.00     0.00  FreeNode
  0.00      2.72     0.00      437     0.00     0.00  alloc_matrix
  0.00      2.72     0.00      431     0.00     0.00  ezxml_char_content
  0.00      2.72     0.00      430     0.00     0.00  free_matrix
  0.00      2.72     0.00      361     0.00     0.00  get_first_pin
  0.00      2.72     0.00      276     0.00     0.00  load_one_fb_fanout_count
  0.00      2.72     0.00      226     0.00     0.00  CountTokensInString
  0.00      2.72     0.00      222     0.00     0.00  ezxml_close_tag
  0.00      2.72     0.00      222     0.00     0.00  ezxml_cut
  0.00      2.72     0.00      222     0.00     0.00  ezxml_free
  0.00      2.72     0.00      222     0.00     0.00  ezxml_free_attr
  0.00      2.72     0.00      222     0.00     0.00  ezxml_open_tag
  0.00      2.72     0.00      221     0.00     0.00  ezxml_add_child
  0.00      2.72     0.00      221     0.00     0.00  ezxml_insert
  0.00      2.72     0.00      183     0.00     0.00  ezxml_attr
  0.00      2.72     0.00      180     0.00     0.00  ezxml_set_txt
  0.00      2.72     0.00      173     0.00     0.00  GetNodeTokens
  0.00      2.72     0.00      171     0.00     0.00  my_calloc
  0.00      2.72     0.00      143     0.00     0.00  FindProperty
  0.00      2.72     0.00      139     0.00     0.00  comp_td_costs
