Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_perturb_ipins
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_pin_mappings
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_placement_structs
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_rr_clb_source
  0.00      6.11     0.00        1     0.00     1.02  alloc_and_load_rr_graph
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_rr_indexed_data
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_rr_node_indices
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_rr_node_route_structs
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_seg_details
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_timing_graph
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_timing_graph_levels
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_tnode_fanin_and_check_edges
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_tnodes_and_net_mapping
  0.00      6.11     0.00        1     0.00     0.00  alloc_and_load_unique_pin_list
  0.00      6.11     0.00        1     0.00     0.00  alloc_block
  0.00      6.11     0.00        1     0.00     0.00  alloc_crit
  0.00      6.11     0.00        1     0.00     0.00  alloc_delta_arrays
  0.00      6.11     0.00        1     0.00     1.13  alloc_lookups_and_criticalities
  0.00      6.11     0.00        1     0.00     0.00  alloc_net
  0.00      6.11     0.00        1     0.00     0.00  alloc_net_delay
  0.00      6.11     0.00        1     0.00     0.00  alloc_net_rr_terminals
  0.00      6.11     0.00        1     0.00     0.00  alloc_net_slack
  0.00      6.11     0.00        1     0.00     0.00  alloc_route_structs
  0.00      6.11     0.00        1     0.00     0.00  alloc_route_tree_timing_structs
  0.00      6.11     0.00        1     0.00     1.06  alloc_routing_structs
  0.00      6.11     0.00        1     0.00     0.00  alloc_timing_driven_route_structs
  0.00      6.11     0.00        1     0.00     1.06  build_rr_graph
  0.00      6.11     0.00        1     0.00     0.00  check_for_duplicate_block_names
  0.00      6.11     0.00        1     0.00     0.00  check_for_multiple_sink_connections
  0.00      6.11     0.00        1     0.00     0.00  check_netlist
  0.00      6.11     0.00        1     0.00     0.01  check_place
  0.00      6.11     0.00        1     0.00     0.00  check_rr_graph
  0.00      6.11     0.00        1     0.00     0.00  check_timing_graph
  0.00      6.11     0.00        1     0.00     1.13  compute_delay_lookup_tables
  0.00      6.11     0.00        1     0.00     0.07  compute_delta_arrays
  0.00      6.11     0.00        1     0.00     0.01  compute_delta_fb_to_fb
  0.00      6.11     0.00        1     0.00     0.02  compute_delta_fb_to_io
  0.00      6.11     0.00        1     0.00     0.02  compute_delta_io_to_fb
  0.00      6.11     0.00        1     0.00     0.02  compute_delta_io_to_io
  0.00      6.11     0.00        1     0.00     0.00  compute_net_pin_index_values
  0.00      6.11     0.00        1     0.00     0.00  count_connections
  0.00      6.11     0.00        1     0.00     0.00  ezxml_new
  0.00      6.11     0.00        1     0.00     0.00  ezxml_parse_fd
  0.00      6.11     0.00        1     0.00     0.00  ezxml_parse_file
  0.00      6.11     0.00        1     0.00     0.00  ezxml_parse_str
  0.00      6.11     0.00        1     0.00     0.00  ezxml_str2utf8
  0.00      6.11     0.00        1     0.00     0.00  freeArch
  0.00      6.11     0.00        1     0.00     0.00  free_and_reset_internal_structures
  0.00      6.11     0.00        1     0.00     0.00  free_crit
  0.00      6.11     0.00        1     0.00     0.00  free_fanout_counts
  0.00      6.11     0.00        1     0.00     0.00  free_fast_cost_update_structs
  0.00      6.11     0.00        1     0.00     0.00  free_int_list
  0.00      6.11     0.00        1     0.00     0.00  free_lookups_and_criticalities
  0.00      6.11     0.00        1     0.00     0.00  free_net_delay
