Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.75     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      2.75     0.00     1359     0.00     0.00  my_strdup
  0.00      2.75     0.00     1120     0.00     0.00  get_unidir_opin_connections
  0.00      2.75     0.00      954     0.00     0.00  pathfinder_update_one_cost
  0.00      2.75     0.00      649     0.00     0.00  insert_in_hash_table
  0.00      2.75     0.00      551     0.00     0.00  ezxml_decode
  0.00      2.75     0.00      478     0.00     0.00  load_net_rr_terminals
  0.00      2.75     0.00      477     0.00     0.00  add_route_tree_to_heap
  0.00      2.75     0.00      477     0.00     0.00  free_route_tree
  0.00      2.75     0.00      477     0.00     0.00  free_traceback
  0.00      2.75     0.00      477     0.00     0.00  heapsort
  0.00      2.75     0.00      477     0.00     0.00  init_route_tree_to_source
  0.00      2.75     0.00      477     0.00     0.00  load_rt_subtree_Tdel
  0.00      2.75     0.00      477     0.00     0.00  mark_ends
  0.00      2.75     0.00      477     0.00     0.00  reset_path_costs
  0.00      2.75     0.00      477     0.00     0.00  update_net_delays_from_route_tree
  0.00      2.75     0.00      477     0.00     0.00  update_route_tree
  0.00      2.75     0.00      477     0.00     0.00  update_traceback
  0.00      2.75     0.00      437     0.00     0.00  alloc_matrix
  0.00      2.75     0.00      431     0.00     0.00  ezxml_char_content
  0.00      2.75     0.00      430     0.00     0.00  free_matrix
  0.00      2.75     0.00      359     0.00     0.00  postscript
  0.00      2.75     0.00      276     0.00     0.00  load_one_fb_fanout_count
  0.00      2.75     0.00      222     0.00     0.00  FreeNode
  0.00      2.75     0.00      222     0.00     0.00  ezxml_free
  0.00      2.75     0.00      222     0.00     0.00  ezxml_free_attr
  0.00      2.75     0.00      221     0.00     0.00  ezxml_insert
  0.00      2.75     0.00      183     0.00     0.00  ezxml_attr
  0.00      2.75     0.00      180     0.00     0.00  ezxml_set_txt
  0.00      2.75     0.00      173     0.00     0.00  GetNodeTokens
  0.00      2.75     0.00      171     0.00     0.00  my_calloc
  0.00      2.75     0.00      139     0.00     0.00  comp_td_costs
  0.00      2.75     0.00      139     0.00     0.00  get_next_hash
  0.00      2.75     0.00      125     0.00     0.00  ezxml_set_attr
  0.00      2.75     0.00      124     0.00     0.00  load_timing_graph_net_delays
  0.00      2.75     0.00      123     0.00     0.00  load_criticalities
  0.00      2.75     0.00      123     0.00     0.00  update_screen
  0.00      2.75     0.00      121     0.00     0.00  load_sblock_pattern_lookup
  0.00      2.75     0.00       57     0.00     0.00  alloc_ivector_and_copy_int_list
  0.00      2.75     0.00       43     0.00     0.00  ezxml_child
  0.00      2.75     0.00       36     0.00     0.00  comp_width
  0.00      2.75     0.00        6     0.00     0.00  ParseFc
  0.00      2.75     0.00        6     0.00     0.00  alloc_and_load_grid
  0.00      2.75     0.00        5     0.00     0.00  alloc_matrix3
  0.00      2.75     0.00        5     0.00     0.00  my_realloc
  0.00      2.75     0.00        4     0.00     0.00  free_chunk_memory
  0.00      2.75     0.00        4     0.00     0.00  free_matrix3
  0.00      2.75     0.00        4     0.00     0.00  get_class_range_for_block
  0.00      2.75     0.00        3     0.00     0.00  ProcessOption
  0.00      2.75     0.00        3     0.00     0.00  alloc_and_load_pin_to_track_map
  0.00      2.75     0.00        3     0.00     0.00  free_ivec_vector
  0.00      2.75     0.00        3     0.00     0.00  free_matrix4
  0.00      2.75     0.00        2     0.00     0.00  ProcessCB_SB
  0.00      2.75     0.00        2     0.00     0.00  ProcessChanWidthDistrDir
  0.00      2.75     0.00        2     0.00     0.00  alloc_hash_table
