Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 17.23      1.02     1.02 25584958     0.00     0.00  comp_td_point_to_point_delay
 15.37      1.93     0.91   848146     0.00     0.00  comp_delta_td_cost
 12.84      2.69     0.76 12629702     0.00     0.00  get_non_updateable_bb
 10.30      3.30     0.61   869998     0.00     0.00  try_swap
  7.94      3.77     0.47   848146     0.00     0.00  find_affected_nets
  7.01      4.19     0.42 18463104     0.00     0.00  get_seg_start
  6.25      4.56     0.37 15637785     0.00     0.00  get_net_cost
  4.73      4.84     0.28   386965     0.00     0.00  update_td_cost
  3.72      5.06     0.22 18254940     0.00     0.00  get_seg_end
  3.38      5.26     0.20    68548     0.00     0.00  label_wire_muxes
  1.86      5.37     0.11  3008047     0.00     0.00  update_bb
  1.69      5.47     0.10   315200     0.00     0.00  get_bb_from_scratch
  1.01      5.53     0.06   869998     0.00     0.00  find_to
  0.84      5.58     0.05    30888     0.00     0.00  label_wire_muxes_for_balance
  0.68      5.62     0.04  3022684     0.00     0.00  my_irand
  0.68      5.66     0.04  1421350     0.00     0.00  get_rr_node_index
  0.68      5.70     0.04       15     0.00     0.00  recompute_bb_cost
  0.51      5.73     0.03   848146     0.00     0.00  assess_swap
  0.51      5.76     0.03      124     0.00     0.00  load_net_slack
  0.34      5.78     0.02   222559     0.00     0.00  get_timing_driven_expected_cost
  0.34      5.80     0.02      510     0.00     0.00  get_net_wirelength_estimate
  0.34      5.82     0.02        1     0.02     0.02  sync_nets_to_blocks
  0.17      5.83     0.01   638248     0.00     0.00  my_frand
  0.17      5.84     0.01   222559     0.00     0.00  node_to_heap
  0.17      5.85     0.01   217602     0.00     0.00  get_expected_segs_to_target
  0.17      5.86     0.01    22465     0.00     0.00  get_heap_head
  0.17      5.87     0.01    20292     0.00     0.00  check_node
  0.17      5.88     0.01    19577     0.00     0.00  timing_driven_expand_neighbours
  0.17      5.89     0.01    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.17      5.90     0.01      124     0.00     0.00  compute_net_slacks
